"filename", "language", "Markdown", "C", "C++", "comment", "blank", "total"
"d:\Code of JettyCoffee\C-Language Study\8-x\8-7.c", "C", 0, -31, 0, 0, -5, -36
"d:\Code of JettyCoffee\C-Language Study\8-x\8-8.c", "C", 0, -20, 0, 0, -1, -21
"d:\Code of JettyCoffee\C-Language Study\8-x\8-9.c", "C", 0, -46, 0, 0, -3, -49
"d:\Code of JettyCoffee\C-Language Study\9-x\9-1.c", "C", 0, -23, 0, 0, -6, -29
"d:\Code of JettyCoffee\C-Language Study\9-x\9-2.c", "C", 0, -22, 0, 0, -3, -25
"d:\Code of JettyCoffee\C-Language Study\9-x\9-3.c", "C", 0, -21, 0, 0, -3, -24
"d:\Code of JettyCoffee\C-Language Study\9-x\9-4.c", "C", 0, -29, 0, 0, -2, -31
"d:\Code of JettyCoffee\C-Language Study\9-x\9-5.c", "C", 0, -35, 0, 0, -3, -38
"d:\Code of JettyCoffee\C-Language Study\9-x\9-6.c", "C", 0, -49, 0, 0, -7, -56
"d:\Code of JettyCoffee\C-Language Study\Personnal-Solve\Description.c", "C", 0, -20, 0, 0, -4, -24
"d:\Code of JettyCoffee\C-Language Study\Personnal-Solve\candy_divide.c", "C", 0, -51, 0, 0, -2, -53
"d:\Code of JettyCoffee\C-Language Study\Personnal-Solve\test.c", "C", 0, -11, 0, -2, -6, -19
"d:\Code of JettyCoffee\Data Construction\1.0\1-1.c", "C", 0, -43, 0, 0, -14, -57
"d:\Code of JettyCoffee\Data Construction\1.0\1-2.c", "C", 0, -70, 0, -8, -14, -92
"d:\Code of JettyCoffee\Data Construction\1.0\stack_standard.c", "C", 0, -36, 0, -7, -14, -57
"d:\Code of JettyCoffee\Data Construction\2.0\2-1.c", "C", 0, -138, 0, -6, -18, -162
"d:\Code of JettyCoffee\Data Construction\2.0\2-2.c", "C", 0, -113, 0, -6, -6, -125
"d:\Code of JettyCoffee\Data Construction\3.0\3-1.c", "C", 0, -65, 0, -5, -7, -77
"d:\Code of JettyCoffee\Dictionary.cpp", "C++", 0, 0, -69, -21, -16, -106
"d:\Code of JettyCoffee\Examination Test of DaSE\1-2.c", "C", 0, -13, 0, -39, -1, -53
"d:\Code of JettyCoffee\Examination Test of DaSE\1-3.c", "C", 0, -25, 0, -20, -7, -52
"d:\Code of JettyCoffee\Examination Test of DaSE\1-4.c", "C", 0, -15, 0, -9, -5, -29
"d:\Code of JettyCoffee\Examination Test of DaSE\1-5.c", "C", 0, -30, 0, -9, -8, -47
"d:\Code of JettyCoffee\Examination Test of DaSE\1-6.c", "C", 0, -52, 0, -9, -4, -65
"d:\Code of JettyCoffee\Learning.c", "C", 0, -50, 0, -11, -14, -75
"d:\Code of JettyCoffee\README.md", "Markdown", -4, 0, 0, 0, -1, -5
"d:\Code of JettyCoffee\Standard.c", "C", 0, -7, 0, 0, -4, -11
"d:\Code of JettyCoffee\Untitled-1.c", "C", 0, -24, 0, 0, -1, -25
"d:\Code of JettyCoffee\edit.c", "C", 0, -108, 0, -8, -8, -124
"d:\Code of JettyCoffee\hanshuzhuanyong\GCD.c", "C", 0, -10, 0, 0, 0, -10
"d:\Code of JettyCoffee\hanshuzhuanyong\LCM.c", "C", 0, -14, 0, 0, -1, -15
"d:\Code of JettyCoffee\hanshuzhuanyong\dist.c", "C", 0, -15, 0, 0, -3, -18
"d:\Code of JettyCoffee\hanshuzhuanyong\sign.c", "C", 0, -15, 0, 0, 0, -15
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\Nqueen_question.c", "C", 0, 53, 0, 12, 5, 70
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\maze.c", "C", 0, 105, 0, 24, 9, 138
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\plus_set.c", "C", 0, 50, 0, 11, 18, 79
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\snowing_long.c", "C", 0, 51, 0, 0, 4, 55
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\subset_counter.c", "C", 0, 31, 0, 3, 4, 38
"d:\Code-of-JettyCoffee\Data Construction\List\Josephus_quesetion.c", "C", 0, 65, 0, 18, 7, 90
"d:\Code-of-JettyCoffee\Data Construction\Queue\closest_letter.c", "C", 0, 113, 0, 20, 6, 139
"d:\Code-of-JettyCoffee\Data Construction\Queue\standard_queue_always.c", "C", 0, 138, 0, 30, 18, 186
