Date : 2023-11-29 23:36:49
Directory : d:\C_Learning_Code\Data Construction
Total : 78 files,  -1811 codes, -19 comments, -150 blanks, all -1980 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\C_Learning_Code\Problem List\5-x\5-7.c                      | C        |        -37 |          0 |         -4 |        -41 |
| d:\C_Learning_Code\Problem List\6-x\6-1.c                      | C        |        -42 |          0 |         -3 |        -45 |
| d:\C_Learning_Code\Problem List\6-x\6-2.c                      | C        |        -12 |          0 |         -1 |        -13 |
| d:\C_Learning_Code\Problem List\6-x\6-3.c                      | C        |        -22 |          0 |         -1 |        -23 |
| d:\C_Learning_Code\Problem List\6-x\6-4.c                      | C        |        -52 |          0 |         -3 |        -55 |
| d:\C_Learning_Code\Problem List\6-x\6-5.c                      | C        |        -45 |          0 |         -4 |        -49 |
| d:\C_Learning_Code\Problem List\6-x\6-6.c                      | C        |        -37 |          0 |         -3 |        -40 |
| d:\C_Learning_Code\Problem List\6-x\6-7.c                      | C        |        -43 |          0 |         -3 |        -46 |
| d:\C_Learning_Code\Problem List\6-x\6-8.c                      | C        |        -27 |          0 |         -2 |        -29 |
| d:\C_Learning_Code\Problem List\7-x\7-1.c                      | C        |        -30 |          0 |         -2 |        -32 |
| d:\C_Learning_Code\Problem List\7-x\7-2.c                      | C        |        -33 |         -3 |         -7 |        -43 |
| d:\C_Learning_Code\Problem List\7-x\7-3.c                      | C        |        -27 |          0 |         -1 |        -28 |
| d:\C_Learning_Code\Problem List\7-x\7-4.c                      | C        |        -28 |          0 |         -1 |        -29 |
| d:\C_Learning_Code\Problem List\7-x\7-5.c                      | C        |        -51 |          0 |         -2 |        -53 |
| d:\C_Learning_Code\Problem List\7-x\7-6.c                      | C        |        -19 |          0 |         -2 |        -21 |
| d:\C_Learning_Code\Problem List\7-x\7-7.c                      | C        |       -121 |          0 |         -2 |       -123 |
| d:\C_Learning_Code\Problem List\7-x\7-8.c                      | C        |       -102 |          0 |         -2 |       -104 |
| d:\C_Learning_Code\Problem List\8-x\8-1.c                      | C        |        -16 |          0 |         -3 |        -19 |
| d:\C_Learning_Code\Problem List\8-x\8-10.c                     | C        |        -37 |          0 |         -1 |        -38 |
| d:\C_Learning_Code\Problem List\8-x\8-11.c                     | C        |        -37 |          0 |         -1 |        -38 |
| d:\C_Learning_Code\Problem List\8-x\8-2.c                      | C        |        -26 |          0 |         -3 |        -29 |
| d:\C_Learning_Code\Problem List\8-x\8-3.c                      | C        |        -30 |          0 |         -3 |        -33 |
| d:\C_Learning_Code\Problem List\8-x\8-4.c                      | C        |        -43 |          0 |         -3 |        -46 |
| d:\C_Learning_Code\Problem List\8-x\8-5.c                      | C        |        -35 |          0 |         -3 |        -38 |
| d:\C_Learning_Code\Problem List\8-x\8-6.c                      | C        |        -25 |          0 |         -3 |        -28 |
| d:\C_Learning_Code\Problem List\8-x\8-7.c                      | C        |        -31 |          0 |         -5 |        -36 |
| d:\C_Learning_Code\Problem List\8-x\8-8.c                      | C        |        -20 |          0 |         -1 |        -21 |
| d:\C_Learning_Code\Problem List\8-x\8-9.c                      | C        |        -46 |          0 |         -3 |        -49 |
| d:\C_Learning_Code\Problem List\9-x\9-1.c                      | C        |        -23 |          0 |         -6 |        -29 |
| d:\C_Learning_Code\Problem List\9-x\9-2.c                      | C        |        -22 |          0 |         -3 |        -25 |
| d:\C_Learning_Code\Problem List\9-x\9-3.c                      | C        |        -21 |          0 |         -3 |        -24 |
| d:\C_Learning_Code\Problem List\9-x\9-4.c                      | C        |        -29 |          0 |         -2 |        -31 |
| d:\C_Learning_Code\Problem List\9-x\9-5.c                      | C        |        -35 |          0 |         -3 |        -38 |
| d:\C_Learning_Code\Problem List\9-x\9-6.c                      | C        |        -49 |          0 |         -7 |        -56 |
| d:\C_Learning_Code\Problem List\Dictionary.cpp                 | C++      |        -69 |        -21 |        -16 |       -106 |
| d:\C_Learning_Code\Problem List\Personnal-Solve\Description.c  | C        |        -20 |          0 |         -4 |        -24 |
| d:\C_Learning_Code\Problem List\Personnal-Solve\candy_divide.c | C        |        -51 |          0 |         -2 |        -53 |
| d:\C_Learning_Code\Problem List\Personnal-Solve\test.c         | C        |        -11 |         -2 |         -6 |        -19 |
| Total                                                          |          |     -1,811 |        -19 |       -150 |     -1,980 |
+----------------------------------------------------------------+----------+------------+------------+------------+------------+
